23/04/2013 15:34:22 - New match 11348966 has started

23/04/2013 15:36:04 - Roman killed Nick using M16

23/04/2013 15:36:05 - Roman killed Nick using M16

23/04/2013 15:36:06 - Roman killed Nick using M16

23/04/2013 15:36:07 - Roman killed Nick using M16

23/04/2013 15:36:14 - Roman killed Nick using M16

23/04/2013 15:36:25 - Roman killed Nick using M16

23/04/2013 15:36:40 - Roman killed Nick using M16

23/04/2013 15:37:01 - Roman killed Nick using M16

23/04/2013 15:37:08 - Roman killed Nick using M16

23/04/2013 15:37:24 - Roman killed Nick using M16

23/04/2013 15:37:02 - <WORLD> killed Nick by DROWN

23/04/2013 15:39:22 - Match 11348965 has ended
